"Subscription Id","Coupon Id","Coupon Code Id","Redemptions","Apply Till"
"AzZKG2V3ZmtxEk6g","advance_payment_annual_discount_84710_1765211736","","1",""
"AzZKG2V3ZmtxEk6g","BOOHOO_2106.13","","1",""
"16CVFkUkzHlZgmTT","NETZSTRATEGEN_709.75","","1",""
"16CVFkUkzHlZgmTT","advance_payment_annual_discount_83361_1764690604","","1",""
"16CVFkUkzHlZgmTT","NETZSTRATEGEN_42.07","","1","12-Apr-2026 12:59"
"16CN9hTUi5uk46Ch","EASYJET_AIS_CYBER_MODAY_50%","","1","02-Apr-2026 12:53"
"169lXYSca8GwM62Wo","TOTALFISHING_RESTORE_CREDIT","","1",""
"169lXYSca8GwM62Wo","TOTALFISHING_CREDIT_RESTORE","","1","08-May-2024 14:11"
"16BZ7ySAlUVznyDF","advance_payment_annual_discount_11566_1772624217","","1",""
"16A175S2An9pm131Y","advance_payment_annual_discount_52436_1735557471","","1",""
"1mMqa5HRJSVnB44JU","CREDIT_TRANSFER_P&amp;G_670GBP","","1",""
"1mMqa5HRJSVnB44JU","annual_discount_1t_starcom","","1",""
"1mMqa5HRJSVnB44JU","advance_payment_annual_discount_35561_1741251589","","1",""
"2smoc9CcR64QjBt1Ob","advance_payment_annual_discount_25690_1739541243","","1",""
