"Subscription Id","Customer Id","Status","Start Date","Trial Start","Trial End","Curr Term Start","Curr Term End","Next Billing","Remaining Billing Cycles","Created At","Started At","Activated At","Cancelled At","Cancel Reason","Next Billing Amount","PO Number","MRR","Currency","SEOmonitor OrderID","barter","Main subscription","Subscription Setup Fee","Subscription Pause Date","Subscriptions Resume Date","Plan Id","Plan Quantity","Subscription Plan Unit Price","Subscription Plan Amount","Subscription Plan Quantity in Decimal","Subscription Plan Unit Price in Decimal","Subscription Plan Amount in Decimal"
"169n5CV9QupnEKews","16CICzV9QuVSlKi3c","Non Renewing","","","","26-Jan-2026 17:57","26-Feb-2026 17:57","","0","26-Jan-2026 17:57","26-Jan-2026 17:57","26-Jan-2026 17:57","26-Mar-2026 00:00","","0.00","","1095.00","USD","83024","","","","","","seomonitor-flexible-plan-uid-83091-usd","1","813.00","813.00","","",""
"AzZKG2V3ZmtxEk6g","6olyuV3ZiqomfLQ","Active","","","","27-Feb-2026 11:06","27-Mar-2026 11:06","27-Mar-2026 11:06","","25-Nov-2025 15:28","25-Nov-2025 15:28","27-Jan-2026 11:06","","","2777.07","","2777.07","GBP","84643","","","","","","seomonitor-flexible-plan-uid-84710-gbp","1","4630.00","4630.00","","",""
"16CVFkUkzHlZgmTT","AzyhtQUkzHODxleL","Active","","","","12-Mar-2026 12:59","13-Apr-2026 12:59","13-Apr-2026 12:59","","12-May-2025 12:59","12-May-2025 12:59","12-May-2025 12:59","","","323.70","","323.70","EUR","83294","","","","","","seomonitor-flexible-plan-uid-83361","1","390.00","390.00","","",""
"AzZf9GUWacMGT6xVM","AzZf9GUWacMGT6xVM","Active","","","","10-Mar-2026 21:04","10-Apr-2026 21:04","10-Apr-2026 21:04","","10-Dec-2024 21:04","10-Dec-2024 21:04","10-Dec-2024 21:04","","","310.00","","310.00","EUR","79692","","","","","","seomonitor-flexible-plan-uid-79749","1","310.00","310.00","","",""
"16CN9hTUi5uk46Ch","AzZXLTTUi28gnLT","Active","","","","02-Mar-2026 12:53","03-Apr-2026 12:53","03-Apr-2026 12:53","","02-Feb-2023 12:53","02-Feb-2023 12:53","05-Jun-2025 14:58","","","2018.00","EA61197714","2018.00","EUR","52972","","","","","","seomonitor-flexible-plan-uid-56641","1","1315.00","1315.00","","",""
"AzyfcWTMduKeN2xiI","AzyfcWTMduKeN2xiI","Active","","","","23-Feb-2026 08:55","23-Mar-2026 08:55","23-Mar-2026 08:55","","08-Nov-2022 23:50","08-Nov-2022 23:50","23-Feb-2026 08:55","","","299.00","000080","299.00","EUR","67234","","","","","","seomonitor-flexible-plan-uid-67287","1","299.00","299.00","","",""
"169lXYSca8GwM62Wo","16CVv4Sca7MQB639A","Active","","","","11-Mar-2026 14:11","11-Apr-2026 14:11","11-Apr-2026 14:11","","08-Jul-2021 14:12","08-Jul-2021 14:11","08-Jul-2021 14:11","","","980.10","","810.00","RON","36262","","","","","","seomonitor-flexible-plan-uid-38862-ron","1","810.00","810.00","","",""
"16BZ7ySAlUVznyDF","Azyvw0SAlS2lmtjU","Active","","20-Aug-2021 12:12","24-Aug-2021 11:10","28-Feb-2026 07:52","29-Mar-2026 07:52","29-Mar-2026 07:52","","16-Sep-2020 15:21","13-Aug-2020 00:00","01-Mar-2026 04:08","","","1737.19","FNEL-0038235","1737.19","USD","12237","","","","","","seomonitor-flexible-plan-uid-11566-usd","1","1365.00","1365.00","","",""
"16A175S2An9pm131Y","16A175S2An9pm131Y","Active","","17-Jun-2020 12:54","18-Jun-2020 14:27","19-Feb-2026 08:29","19-Mar-2026 08:29","19-Mar-2026 08:29","","17-Jun-2020 12:54","17-Jun-2020 12:54","16-Sep-2021 00:00","","","334.49","","334.49","EUR","48831","","","","","","seomonitor-flexible-plan-uid-52436","1","403.00","403.00","","",""
"1mMqa5HRJSVnB44JU","2smoc96TRJSV6jC4VK","Active","","","","02-Mar-2026 16:30","03-Apr-2026 16:30","03-Apr-2026 16:30","","01-Mar-2019 09:56","01-Mar-2019 09:56","01-Feb-2021 09:26","","","1677.43","","1677.43","EUR","34142","","","","","","seomonitor-flexible-plan-uid-35561-eur","1","2021.00","2021.00","","",""
"2smoc9CcR64QjBt1Ob","2smoc9CcR64QjBt1Ob","Active","","","","11-Mar-2026 09:49","11-Apr-2026 09:49","11-Apr-2026 09:49","","10-Oct-2018 10:50","10-Oct-2018 10:50","12-Dec-2019 09:49","","","776.88","","776.88","EUR","24369","","","","","","seomonitor-flexible-plan-uid-25690-eur","1","936.00","936.00","","",""
